qid	was	now
Q105241345	Auferstehungskirche	Church of the Resurrection
Q113773491	Sacro Cuore	Church of the Sacred Heart
Q120484508	St. Thomas	Church of Saint Thomas
Q120525532	Stella Maris	Church of Our Lady Star of the Sea
Q120525648	Sant'Antonio Abate	Chapel of Saint Anthony the Abbot
Q120525664	Santa Caterina	Chapel of Saint Catherine
Q121815370	San Martino	Church of Saint Martin
Q123362518	Santi Innocenti	Church of the Holy Innocents
Q126454747	Santo Pellegrino	Church of Saint Peregrine
Q134699302	Capella de la Puríssima Sang	Chapel of the Most Precious Blood
Q135664113	Sant'Anna	Church of Saint Anne
Q139587990	St. Martin	Church of Saint Martin
Q23662698	Heiligen-Geist-Kapelle	Church of the Holy Spirit
Q28742495	St. Bonifatius	Church of Saint Boniface
Q41260029	Frauenkirche	Church of Our Lady
Q41369147	St. Jakobus	Church of Saint James
