Q175288	chokusaisha
Q215320	Twenty-Two Shrines
Q712534	modern system of ranked Shinto shrines
Q1107129	sōja
Q1534477	gokoku shrine
Q1656379	Ichi-no-Miya
Q9610964	Myōjin Taisha
Q9685496	Kanpei Shosha
Q10898274	Beppyo Shrine
Q11064932	Engishiki Jinmyōchō
Q11438310	taisha
Q18728054	Category:Shinto shrines by ranking
Q30466383	Category:Gonomiya
Q30466386	Category:Shinomiya
Q90139226	Ken-sha
Q118304363	kokushi genzaisha
Q118469772	shikigesha
Q119929592	Kinpei-sha
Q120680118	jingū
Q131457407	shagōhyō
Q134916677	X-no-miya
Q134917257	Kanpei-sha
Q134917275	Kokuhei-sha
Q134917276	Bekkaku Kanpeisha
Q134917277	Kanpei Chūsha
Q134917278	Kanpei Shōsha
Q134917279	Kanpei Taisha
Q134917280	Kokuhei Chūsha
Q134917281	Kokuhei Shōsha
Q134917282	Kokuhei Taisha
Q134917283	Fuken-sha
Q134917284	Son-sha
Q134917285	Unranked shrines
Q134917286	Shikinaisha
Q134917287	Shikinai Shōsha
Q134917288	Shikinai Taisha
Q134917290	Regional Ichinomiya
Q134917291	Regional Sōja
Q134917301	Go-no-Miya
Q134917303	San-no-Miya
Q134917307	Shi-no-Miya
Q134917310	Min-sha
Q134917316	Gō-sha
Q134917326	Fu-sha
Q134917533	Ni-no-Miya
Q135009120	Ritsuryō funding type
Q135009625	Roku-no-Miya
Q135160338	Kanpei-sha
Q135160342	Kokuhei-sha
Q135207684	Shikinaisha Former Site
Q137886068	Ginpei-sha
Q137886071	Hakuhei-sha
Q137901635	Gifu Prefecture Shrine ranking
Q138640329	Engishiki ranking
