prefecture,shrine_name,kana,address,url
Gifu,神明神社,しんめいじんじゃ,岐阜県大垣市墨俣町先入方西蛇池1443番地,https://www.gifu-jinjacho.jp/syosai.php?shrno=1
Gifu,墨俣神社,すのまたじんじゃ,岐阜県大垣市墨俣町墨俣264番地,https://www.gifu-jinjacho.jp/syosai.php?shrno=2
Gifu,白髭神社,しらひげじんじゃ,岐阜県大垣市墨俣町墨俣1735番地の1,https://www.gifu-jinjacho.jp/syosai.php?shrno=3
Gifu,八幡神社,はちまんじんじゃ,岐阜県大垣市墨俣町墨俣1番地,https://www.gifu-jinjacho.jp/syosai.php?shrno=4
Gifu,不破神社,ふわじんじゃ,岐阜県大垣市墨俣町上宿348番地の1,https://www.gifu-jinjacho.jp/syosai.php?shrno=5
Gifu,浅間神社,あさまじんじゃ,岐阜県大垣市墨俣町下宿159番地,https://www.gifu-jinjacho.jp/syosai.php?shrno=6
Gifu,稲荷神社,いなりじんじゃ,岐阜県大垣市墨俣町二ツ木21番地,https://www.gifu-jinjacho.jp/syosai.php?shrno=7
Gifu,八幡神社,はちまんじんじゃ,岐阜県大垣市墨俣町二ツ木22番地,https://www.gifu-jinjacho.jp/syosai.php?shrno=8
Gifu,秋葉神社,あきばじんじゃ,岐阜県大垣市墨俣町墨俣本町無番地,https://www.gifu-jinjacho.jp/syosai.php?shrno=9
Gifu,天満神社,てんまんじんじゃ,岐阜県安八郡安八町西結1261番地,https://www.gifu-jinjacho.jp/syosai.php?shrno=10
Gifu,豊鍬神社,とよくわじんじゃ,岐阜県安八郡安八町西結北村中堤敷無番地,https://www.gifu-jinjacho.jp/syosai.php?shrno=11
Gifu,神明神社,しんめいじんじゃ,岐阜県安八郡安八町西結字板屋島2628番地の1,https://www.gifu-jinjacho.jp/syosai.php?shrno=12
Shiga,地主神社,ジシュ,滋賀県大津市葛川坊村町116,https://www.shiga-jinjacho.jp/ycBBS/Board.cgi/02_jinja_db/db/ycDB_02jinja-pc-detail.html?mode:view=1&view:oid=2
Shiga,八所神社,ハッショ,滋賀県大津市伊香立下在地町1316,https://www.shiga-jinjacho.jp/ycBBS/Board.cgi/02_jinja_db/db/ycDB_02jinja-pc-detail.html?mode:view=1&view:oid=3
Shiga,融神社,トオル,滋賀県大津市伊香立南庄町1846,https://www.shiga-jinjacho.jp/ycBBS/Board.cgi/02_jinja_db/db/ycDB_02jinja-pc-detail.html?mode:view=1&view:oid=4
Shiga,還来神社,モドロギ,滋賀県大津市伊香立途中町518,https://www.shiga-jinjacho.jp/ycBBS/Board.cgi/02_jinja_db/db/ycDB_02jinja-pc-detail.html?mode:view=1&view:oid=5
Shiga,神田神社,カンタ,滋賀県大津市真野4-7-2,https://www.shiga-jinjacho.jp/ycBBS/Board.cgi/02_jinja_db/db/ycDB_02jinja-pc-detail.html?mode:view=1&view:oid=6
Shiga,神田神社,カンダ,滋賀県大津市真野普門942,https://www.shiga-jinjacho.jp/ycBBS/Board.cgi/02_jinja_db/db/ycDB_02jinja-pc-detail.html?mode:view=1&view:oid=7
Shiga,樹下神社,コノモト,滋賀県大津市真野佐川町515,https://www.shiga-jinjacho.jp/ycBBS/Board.cgi/02_jinja_db/db/ycDB_02jinja-pc-detail.html?mode:view=1&view:oid=8
Shiga,河内神社,カワチ,滋賀県大津市真野大野549,https://www.shiga-jinjacho.jp/ycBBS/Board.cgi/02_jinja_db/db/ycDB_02jinja-pc-detail.html?mode:view=1&view:oid=9
Shiga,八幡神社,ハチマン,滋賀県大津市真野谷口町309,https://www.shiga-jinjacho.jp/ycBBS/Board.cgi/02_jinja_db/db/ycDB_02jinja-pc-detail.html?mode:view=1&view:oid=10
Shiga,伊豆神社,イヅ,滋賀県大津市本堅田1-19-26,https://www.shiga-jinjacho.jp/ycBBS/Board.cgi/02_jinja_db/db/ycDB_02jinja-pc-detail.html?mode:view=1&view:oid=11
Shiga,神田神社,カンダ,滋賀県大津市本堅田1-9-27,https://www.shiga-jinjacho.jp/ycBBS/Board.cgi/02_jinja_db/db/ycDB_02jinja-pc-detail.html?mode:view=1&view:oid=12
Shiga,鞍掛神社,クラカケ,滋賀県大津市衣川2-28-1,https://www.shiga-jinjacho.jp/ycBBS/Board.cgi/02_jinja_db/db/ycDB_02jinja-pc-detail.html?mode:view=1&view:oid=14
Shiga,天満神社,テンマン,滋賀県大津市衣川3-4-1,https://www.shiga-jinjacho.jp/ycBBS/Board.cgi/02_jinja_db/db/ycDB_02jinja-pc-detail.html?mode:view=1&view:oid=15
Shiga,伊豆神田神社,イヅカンダ,滋賀県大津市今堅田1-16-18,https://www.shiga-jinjacho.jp/ycBBS/Board.cgi/02_jinja_db/db/ycDB_02jinja-pc-detail.html?mode:view=1&view:oid=16
Shiga,小椋神社,オグラ,滋賀県大津市仰木4-38-55,https://www.shiga-jinjacho.jp/ycBBS/Board.cgi/02_jinja_db/db/ycDB_02jinja-pc-detail.html?mode:view=1&view:oid=17
Shiga,若宮神社,ワカミヤ,滋賀県大津市千野1-12-13,https://www.shiga-jinjacho.jp/ycBBS/Board.cgi/02_jinja_db/db/ycDB_02jinja-pc-detail.html?mode:view=1&view:oid=19
Shiga,天満神社,テンマン,滋賀県大津市千野3-3-21,https://www.shiga-jinjacho.jp/ycBBS/Board.cgi/02_jinja_db/db/ycDB_02jinja-pc-detail.html?mode:view=1&view:oid=20
Shiga,那波加神社,ナハカ,滋賀県大津市苗鹿1-8-1,https://www.shiga-jinjacho.jp/ycBBS/Board.cgi/02_jinja_db/db/ycDB_02jinja-pc-detail.html?mode:view=1&view:oid=21
Shiga,高穴穂神社,タカアナホ,滋賀県大津市穴太1-3-1,https://www.shiga-jinjacho.jp/ycBBS/Board.cgi/02_jinja_db/db/ycDB_02jinja-pc-detail.html?mode:view=1&view:oid=22
Shiga,日吉大社,ヒヨシ,滋賀県大津市坂本5-1-1,https://www.shiga-jinjacho.jp/ycBBS/Board.cgi/02_jinja_db/db/ycDB_02jinja-pc-detail.html?mode:view=1&view:oid=23
Shiga,倭神社,ヤマト,滋賀県大津市坂本1-8-31,https://www.shiga-jinjacho.jp/ycBBS/Board.cgi/02_jinja_db/db/ycDB_02jinja-pc-detail.html?mode:view=1&view:oid=24
Shiga,福太夫神社,フクダユウ,滋賀県大津市坂本6-29-1,https://www.shiga-jinjacho.jp/ycBBS/Board.cgi/02_jinja_db/db/ycDB_02jinja-pc-detail.html?mode:view=1&view:oid=25
Shiga,杉生神社,スギオ,滋賀県大津市坂本3-11-5,https://www.shiga-jinjacho.jp/ycBBS/Board.cgi/02_jinja_db/db/ycDB_02jinja-pc-detail.html?mode:view=1&view:oid=26
Shiga,長沢神社,ナガサワ,滋賀県大津市坂本2-13-3,https://www.shiga-jinjacho.jp/ycBBS/Board.cgi/02_jinja_db/db/ycDB_02jinja-pc-detail.html?mode:view=1&view:oid=27
Shiga,榊宮社,サカキノミヤシロ,滋賀県大津市坂本4-9-57,https://www.shiga-jinjacho.jp/ycBBS/Board.cgi/02_jinja_db/db/ycDB_02jinja-pc-detail.html?mode:view=1&view:oid=28
Shiga,石占井神社,イシライ,滋賀県大津市坂本3-16-41,https://www.shiga-jinjacho.jp/ycBBS/Board.cgi/02_jinja_db/db/ycDB_02jinja-pc-detail.html?mode:view=1&view:oid=29
Shiga,石動神社,イスルギ,滋賀県大津市坂本3-8-27,https://www.shiga-jinjacho.jp/ycBBS/Board.cgi/02_jinja_db/db/ycDB_02jinja-pc-detail.html?mode:view=1&view:oid=30
Shiga,流護因神社,ナガレゴイン,滋賀県大津市坂本5-3-12,https://www.shiga-jinjacho.jp/ycBBS/Board.cgi/02_jinja_db/db/ycDB_02jinja-pc-detail.html?mode:view=1&view:oid=31
Shiga,大将軍神社,タイショウグン,滋賀県大津市坂本6-1-19,https://www.shiga-jinjacho.jp/ycBBS/Board.cgi/02_jinja_db/db/ycDB_02jinja-pc-detail.html?mode:view=1&view:oid=32
Shiga,冠者殿神社,カンジャデン,滋賀県大津市坂本5-24-46,https://www.shiga-jinjacho.jp/ycBBS/Board.cgi/02_jinja_db/db/ycDB_02jinja-pc-detail.html?mode:view=1&view:oid=33
Shiga,倉園神社,クラソノ,滋賀県大津市坂本6-3-35,https://www.shiga-jinjacho.jp/ycBBS/Board.cgi/02_jinja_db/db/ycDB_02jinja-pc-detail.html?mode:view=1&view:oid=34
Shiga,下野天神社,シモノテン,滋賀県大津市坂本8-27-1,https://www.shiga-jinjacho.jp/ycBBS/Board.cgi/02_jinja_db/db/ycDB_02jinja-pc-detail.html?mode:view=1&view:oid=35
Shiga,御田神社,ミタ,滋賀県大津市坂本6-27-14,https://www.shiga-jinjacho.jp/ycBBS/Board.cgi/02_jinja_db/db/ycDB_02jinja-pc-detail.html?mode:view=1&view:oid=36
Shiga,福成神社,フクナリ,滋賀県大津市坂本4-12-9,https://www.shiga-jinjacho.jp/ycBBS/Board.cgi/02_jinja_db/db/ycDB_02jinja-pc-detail.html?mode:view=1&view:oid=37
Shiga,興玉神社,オキタマ,滋賀県大津市坂本5-15-21,https://www.shiga-jinjacho.jp/ycBBS/Board.cgi/02_jinja_db/db/ycDB_02jinja-pc-detail.html?mode:view=1&view:oid=38
Shiga,百枝天満神社,モモエテンマングウ,滋賀県大津市坂本6-2-28,https://www.shiga-jinjacho.jp/ycBBS/Board.cgi/02_jinja_db/db/ycDB_02jinja-pc-detail.html?mode:view=1&view:oid=39
Shiga,両社神社,リョウシャ,滋賀県大津市下阪本3-10-29,https://www.shiga-jinjacho.jp/ycBBS/Board.cgi/02_jinja_db/db/ycDB_02jinja-pc-detail.html?mode:view=1&view:oid=40
